pmid,abstract
8442867,"OBJECTIVE: The purpose of this article is to determine the prevalence of the cleft lip and palate and its association with some risking factors. MATERIAL AND METHODS: A retrospective, observational and analytic study, of 44 newborn infants with cleft lip and palate and their controls, in 33,461 consecutive births, with 20 weeks or more, and birth weight more than 500 g, since November of 1988 to June of 1991. The information were obtained from the database of the Congenital External Malformation Register, done by the University of Guadalajara, in four hospitals. The prevalence of the cleft lip and palate was calculated. Of the variables studied their association was searched with congenital malformation in 2 x 2 tables, calculating, its chi square, confidence interval, and old ratio. RESULTS: The prevalence of the cleft lip and palate was of 13.2 x 10,000 births. By categories: cleft lip 2.7 x 10,000, cleft lip and palate 7.8 x 10,000 and cleft palate 2.7 x 10,000. The only statistics differences with control group were the association with antecedent of other malformation in the family and methrorrague during pregnancy. CONCLUSIONS: The found prevalence is similar to the one informed in the literature, with some differences by categories. The association with antecedent of another malformation in the family, support the role of the hereditary role in the multifactorial etiology."
18817572,"Centronuclear myopathy (CNM) is an inherited neuromuscular disorder characterised by clinical features of a congenital myopathy and centrally placed nuclei on muscle biopsy.The incidence of X-linked myotubular myopathy is estimated at 2/100000 male births but epidemiological data for other forms are not currently available.The clinical picture is highly variable. The X-linked form usually gives rise to a severe phenotype in males presenting at birth with marked weakness and hypotonia, external ophthalmoplegia and respiratory failure. Signs of antenatal onset comprise reduced foetal movements, polyhydramnios and thinning of the ribs on chest radiographs; birth asphyxia may be the present. Affected infants are often macrosomic, with length above the 90th centile and large head circumference. Testes are frequently undescended. Both autosomal-recessive (AR) and autosomal-dominant (AD) forms differ from the X-linked form regarding age at onset, severity, clinical characteristics and prognosis. In general, AD forms have a later onset and milder course than the X-linked form, and the AR form is intermediate in both respects.Mutations in the myotubularin (MTM1) gene on chromosome Xq28 have been identified in the majority of patients with the X-linked recessive form, whilst AD and AR forms have been associated with mutations in the dynamin 2 (DNM2) gene on chromosome 19p13.2 and the amphiphysin 2 (BIN1) gene on chromosome 2q14, respectively. Single cases with features of CNM have been associated with mutations in the skeletal muscle ryanodine receptor (RYR1) and the hJUMPY (MTMR14) genes.Diagnosis is based on typical histopathological findings on muscle biopsy in combination with suggestive clinical features; muscle magnetic resonance imaging may complement clinical assessment and inform genetic testing in cases with equivocal features. Genetic counselling should be offered to all patients and families in whom a diagnosis of CNM has been made.The main differential diagnoses include congenital myotonic dystrophy and other conditions with severe neonatal hypotonia.Management of CNM is mainly supportive, based on a multidisciplinary approach. Whereas the X-linked form due to MTM1 mutations is often fatal in infancy, dominant forms due to DNM2 mutations and some cases of the recessive BIN1-related form appear to be associated with an overall more favourable prognosis."
8330454,"A genetic epidemiologic analysis of early onset cerebellar ataxias (EOCA) with retained tendon reflexes was performed in a defined area of Northwestern Italy. Forty cases diagnosed from 1940 to 1990 were ascertained. The ascertainment probability was 85.7%. The segregation analysis (Weinberg's proband method and 'singles' method under incomplete ascertainment) is compatible with autosomal recessive inheritance. The point prevalence ratio was 1.0/100,000 population. The birth incidence rate was 1/48,000 live births. Gene frequency was estimated to be 1/218. The ratio of first-cousin marriages among parents of EOCA (4.5%) was lower than expected using Dahlberg's formula (8.9%)."
23983119,"To describe the epidemiology of primary Sjögren's syndrome (SS) in a multiracial/multiethnic population.A cross-sectional study with 5 case-retrieval sources identified adults with primary SS living in the Greater Paris area (population 1,172,482 adults) in 2007. Diagnoses were verified by the American-European Consensus Group (AECG) criteria and study-specific enlarged criteria based on the presence of ≥3 of 4 AECG items among subjective oral or ocular dryness, anti-SSA/SSB positivity, and positive minor salivary gland biopsy results. Prevalence estimates were standardized to those for the world population and a 5-source capture-recapture analysis (CRA) was used. Racial/ethnic differences in primary SS features were evaluated.In all, 133 subjects met the AECG criteria and 203 met the enlarged criteria. The 2007 prevalence of primary SS was 1.02 cases per 10,000 adults (95% confidence interval [95% CI] 0.85-1.22) for the AECG criteria and 1.52 cases per 10,000 adults (95% CI 1.30-1.76) for the enlarged criteria. The CRA indicated completeness of case findings of ∼90%. Compared to subjects with European backgrounds, those with non-European backgrounds had 2.1-2.3 times higher primary SS prevalence and were younger (P < 0.0001) and were more likely to have polyclonal hypergammaglobulinemia (P < 0.0001) and anti-SSA/SSB antibodies (P = 0.0005 and P < 0.0001 for the AECG and enlarged criteria, respectively).The figure of 1.02–1.52 cases per 10,000 adults we found and estimates from the few other population-based census surveys support that the prevalence of diagnosed primary SS is between 1 and 9 cases per 10,000 (0.01-0.09%) [corrected] in the general population. Non-European race/ethnicity may be associated with increased primary SS risk and a distinct disease profile."
27786368,"The association between sarcoidosis and autoimmune comorbidities has been reported, however, it has seldom been confirmed by a large nationwide study. Our study aimed to clarify the association between sarcoidosis and autoimmune comorbidities in the Taiwanese. A total of 1237 patients with sarcoidosis and 4948 age- and sex-matched control subjects were selected from the National Health Insurance Research Database of Taiwan from 1997 to 2010. Multiple logistic regressions were performed to calculate the odds of comorbidities between the two groups. The prevalence of sarcoidosis was 2.17/100 000 individuals in Taiwan. Sarcoidosis patients tended to run a higher risk of autoimmune comorbidities than the control group (17.6% vs 9.4%, P < 0.05). Autoimmune thyroid disease (adjusted odd ratio [aOR], 1.32; 95% confidence interval [CI], 1.05-1.64), Sjögren's syndrome (aOR, 11.6; 95% CI, 4.36-31.0) and ankylosing spondylitis (aOR, 3.80; 95% CI, 2.42-5.97) were significantly associated with sarcoidosis. The sex-stratified analyses were carried out to demonstrate a significant association of sarcoidosis with ankylosing spondylitis in both sexes, but with autoimmune thyroid disease in male patients and with Sjögren's syndrome female patients, respectively. Besides, the diagnosis of the autoimmune comorbidities strongly associated with sarcoidosis tended to be established after that of sarcoidosis. This study demonstrated that patients with sarcoidosis tended to have autoimmune thyroid disease, Sjögren's syndrome and ankylosing spondylitis, and the diagnosis of sarcoidosis usually preceded that of associated comorbidities. Clinicians should be alert to autoimmune comorbidities in patients with sarcoidosis."
23974201,"In pediatric acute myeloid leukemia (AML), cytogenetic abnormalities are strong indicators of prognosis. Some recurrent cytogenetic abnormalities, such as t(8;16)(p11;p13), are so rare that collaborative studies are required to define their prognostic impact. We collected the clinical characteristics, morphology, and immunophenotypes of 62 pediatric AML patients with t(8;16)(p11;p13) from 18 countries participating in the International Berlin-Frankfurt-Münster (I-BFM) AML study group. We used the AML-BFM cohort diagnosed from 1995-2005 (n = 543) as a reference cohort. Median age of the pediatric t(8;16)(p11;p13) AML patients was significantly lower (1.2 years). The majority (97%) had M4-M5 French-American-British type, significantly different from the reference cohort. Erythrophagocytosis (70%), leukemia cutis (58%), and disseminated intravascular coagulation (39%) occurred frequently. Strikingly, spontaneous remissions occurred in 7 neonates with t(8;16)(p11;p13), of whom 3 remain in continuous remission. The 5-year overall survival of patients diagnosed after 1993 was 59%, similar to the reference cohort (P = .14). Gene expression profiles of t(8;16)(p11;p13) pediatric AML cases clustered close to, but distinct from, MLL-rearranged AML. Highly expressed genes included HOXA11, HOXA10, RET, PERP, and GGA2. In conclusion, pediatric t(8;16)(p11;p13) AML is a rare entity defined by a unique gene expression signature and distinct clinical features in whom spontaneous remissions occur in a subset of neonatal cases."
12934793,"The Genetic Blood Disorders Survey is the first community-based survey in the Arabic world and the Middle East to determine the prevalence of the most common genetic blood disorders. The objective of the survey was to determine the prevalence of the most common genetic blood disorders reported among Omani children under 5 years of age in order to provide the planners and policy-makers with reliable information suitable for formulating health policies, planning, and evaluation. The survey was designed, executed, and financed by the Ministry of Health of the Sultanate of Oman. To reduce costs and save effort and time, data collection for the survey was implemented with the Gulf Family Health Survey (GFHS). The GFHS in the Sultanate of Oman is a research project undertaken by the Council of Health Ministers of the Gulf Co-operation Council States. The six member countries have participated in this GFHS project. A total of 6103 households were interviewed. From these households 6342 children under 5 years of age were taken by their parents to neighbourhood hospitals or health centres for blood collection. Fifty-one per cent of the sample were male and 49 per cent were female. Among the child respondents, 17.9 per cent were in the age group 0 to < 1 year, 20.3 per cent were in the age group 1 to < 2 years, 21.1 per cent were in the age group 2 to < 3 years, 20.5 per cent were in the age group 3 to < 4 years, and 20.2 per cent were in the age group 4 to 5 years. Fifty-five per cent of the mothers of the children studied were illiterate, 9 per cent could read and write but had less than primary education, 20 per cent had completed primary school, 9 per cent had attended preparatory school, 5 per cent had attended secondary school, 1 per cent had had intermediate education, while 0.6 per cent had completed university or higher education. The results of this survey revealed that haemoglobinopathies are prevalent in Oman; the prevalence of sickle cell trait was 6 per cent, and of beta-thalassaemia 2 per cent. The prevalence of sickle cell and homozygous beta-thalassaemia were 0.2 and 0.07 per cent, respectively. Other abnormal haemoglobins (Hb) have been detected in this survey; HbD (0.6 per cent), HbE (0.3 per cent), HbC (0.02 per cent). Combination of sickle cell with other abnormal Hb was also detected at low prevalence. Glucose-6-phosphate dehydrogenase (G6PD) enzyme deficiency had a high prevalence in Oman, being 25 per cent in males and 10 per cent in females. Among the children studied, three-quarters (74.5 per cent) were found to be free from haemoglobinopathies and G6PD normal, the rest (25.5 per cent), either had haemoglobinopathies (7.5 per cent), G6PD deficiency (16 per cent) or a combination of G6PD deficiency with at least one abnormal Hb (2 per cent). The prevalence of total haemoglobinopathies in Oman was 9.5 per cent. The prevalence of sickle cell trait varied between regions, North Sharqiya had the highest prevalence of 10 per cent. Dakhiliya (9 per cent), followed by Muscat and South Batinah 8 and 7.9 per cent, respectively. The prevalence of sickle cell trait declined by a half in Musandam, South Sharqiya, Dhahira, and North Batinah (4.7, 3.9, 3.9, and 2.9 per cent respectively). Dhofar had the lowest prevalence of 0.2 per cent and no cases of sickle cell trait were found in the Al-Wousta region in the sample selected. The prevalence of beta-thalassaemia trait ranged from 3.9 to 0.2 per cent. Three regions had high rates: North Batinah (3.9 per cent), Muscat (2.8 per cent), and Dakhiliya (2 per cent). The other five regions in the Sultanate have lower rates: Dhahira (1.7 per cent), Musandam (1.6 per cent), South Batinah (1.5 per cent), South Sharqiya (1.2 per cent), and North Sharqiya (1.1 per cent). The prevalence of beta-thalassaemia trait in Dhofar was 0.2 per cent and no cases were detected in the Al-Wousta region. The prevalence of G6PD deficiency reached 29 per cent in Dakhiliya, 26 per cent in South Batinah, 21 per cent in Dhahira, 19 per cent in Muscat and 17 per cent in North Sharqiya and North Batinah. The prevalence declined to 10 per cent in Musandam, 9 per cent in South Sharqiya, Dhofar had the lowest prevalence of 2 per cent and no cases of G6PD deficiency were found in Al-Wousta. The male to female ratio was 2.5:1. In all regions of the Sultanate, prevalence of G6PD deficiency in males were more than twice those in females. From the above rates, it could be calculated that in the whole Sultanate 44,733 children under 5 years of age have G6PD deficiency, 14,306 have sickle cell trait, 474 have sickle cell disease, 5393 have beta-thalassaemia trait, and 175 have beta-thalassaemia major. The study showed that the mean Hb level of children under 5 years of age was 10.9 g/dl for both males and females; the mean Hb level for males was 10.89 g/dl and for females 10.99 g/dl, the difference between males and females was significant. The study revealed that half of the children under 5 years of age were anaemic. Mild anaemia was predominant (46 per cent), while moderate and severe anaemia were 4 and 0.2 per cent respectively. The status of anaemia among children improved with age; mild anaemia was prevalent in 65 per cent of children between ages 0 to < or = 1 years then decreased with age until it reached 30 per cent at 4-5 years of age. The survey produced the first normal haematological indices for children under 5 years of age to be used as a reference in the country. The blood picture of the normal subjects in the survey showed that the mean Hb value for males was 11.9 g/dl and for females 11.8 g/dl. The children had reduced values of MCH and MCV compared to normal international values, the reason for this could be alpha-thalassaemia or iron deficiency. The children maintained high values of HbF (more than 1.2 per cent) even after their first birthday. HbF reached its normal level at 5 years of age. Marriage of first cousins among the parents of the children studied under 5 years of age was 34 per cent. Total consanguinity rate including second cousin relationships and beyond was 58 per cent. We recommend that a national prevention programme for genetic blood disorders be formulated by the authorities. The programme could be included in the Ministry of Health 5-year health development programme for prevention of non-communicable diseases which already exists."
17638193,"BACKGROUND: The incidence and severity of invasive group A streptococcal infection demonstrate great variability over time, which at least, in part, seems to be related to group A streptococcal type distribution among the human population. METHODS: An enhanced surveillance study of invasive group A streptococcal infection (746 isolates) was performed in Sweden from April 2002 through December 2004. Noninvasive isolates from either the throat or skin (773 isolates) were collected in parallel for comparison. Clinical and epidemiological data were obtained from 88% of patients with invasive disease and were related to isolate characteristics, including T type, emm sequence type, and the presence of 9 superantigen genes, as well as pulsed-field gel electrophoresis pattern comparisons of selected isolates. RESULTS: The annual incidence was 3.0 cases per 100,000 population. Among the patients with invasive disease, 11% developed streptococcal toxic shock syndrome, and 9.5% developed necrotizing fasciitis. The overall case-fatality rate was 14.5%, and 39% of the patients with streptococcal toxic shock syndrome died (P<.001). The T3/13/B3264 cluster accounted for 33% of invasive and 25% of noninvasive isolates. Among this most prevalent type cluster, emm types 89 and 81 dominated. Combined results from pulsed-field gel electrophoresis, emm typing, and superantigen gene profiling identified subgroups within specific emm types that are significantly more prone to cause invasive disease than were other isolates of the same type. CONCLUSIONS: This study revealed a changing epidemiology of invasive group A streptococcal infection in Sweden, with emergence of new emm types that were previously not described. The results also suggest that some clones may be particularly prone to cause invasive disease."
31241292,"OBJECTIVES:Presymptomatic detection of patients with rare diseases (RD), defined by a population frequency less than 1 : 2,000, is the task of newborn screening (NBS). In the Czech Republic (CZ), currently eighteen RD are screened: phenylketonuria/hyperphenylalaninemia (PKU/HPA), congenital hypothyroidism (CH), congenital adrenal hyperplasia (CAH), cystic fibrosis (CF), medium chain acyl-CoA dehydrogenase deficiency (MCADD), long chain 3-hydroxyacyl-CoA dehydrogenase deficiency (LCHADD), very long chain acyl-CoA dehydrogenase deficiency (VLCADD), carnitine palmitoyl transferase I and II deficiency (CPTID, CPTIID), carnitine-acylcarnitine translocase deficiency (CACTD), maple syrup urine disease (MSUD), glutaric aciduria type I (GA I), isovaleryl-CoA dehydrogenase deficiency (IVA), argininemia (ARG), citrullinemia (CIT), biotinidase deficiency (BTD), cystathionine beta-synthase-deficient homocystinuria (CBSD HCU), and methylenetetrahydrofolate reductase deficiency homocystinuria (MTHFRD HCU). The aim was to analyze the prevalence of RD screened by NBS in CZ. METHODS:We examined the NBS programme in CZ from 1 January 2010 to 31 December 2017, which covered 888,891 neonates. Dried blood spots were primarily analyzed using fluorescence immuno-assay, tandem mass spectrometry and fluorimetry. RESULTS:The overall prevalence of RD among the neonate cohort was 1 : 1,043. Individually, 1 : 2,877 for CH, 1 : 5,521 for PKU/HPA, 1 : 6,536 for CF (1 : 5,887 including false negative patients), 1 : 12,520 for CAH, 1 : 22,222 for MCADD, 1 : 80,808 for LCHADD, 1 : 177,778 for GA I, 1 : 177,778 for IVA, 1 : 222,223 for VLCADD, 1 : 296,297 for MSUD, 1 : 8,638 for BTD, and 1 : 181,396 for CBSD HCU. CONCLUSIONS:The observed prevalence of RD, based on NBS, corresponds to that expected, more precisely it was higher for BTD and lower for MSUD, IVA, CBSD HCU, MCADD and VLCADD. Early detection of rare diseases by means of NBS is an effective secondary prevention tool."
20209839,"BACKGROUND: The mucopolysaccharidoses (MPS) are a devastating heterogenous group of lysosomal storage disorders. AIM: To evaluate the epidemiological profile of MPS in Tunisia. METHODS: we conducted a retrospective epidemiological survey covering the period 1970-2005. Multiple sources were used to identify affected patients. RESULTS: Ninety six confirmed MPS cases were collected from 132 suspected cases found in the surveyed data. Of the ninety six confirmed cases, 20% were from multiplex families. Consanguinity was found in 83% of the families. The crude rate for all types of mucopolysaccharidoses was 2.3 cases in 100,000 live births. The prevalence of MPS type I, III and IV, those most frequently occurring in the collected data, were estimated at 0.63, 0.7 and 0.45 per 100,000 live births, respectively. The cumulative incidence of MPS type VI (0.3 per 105 live births) was higher than reported in European countries; but, it is likely that... CONCLUSION: The reported frequency of all types of MPS in Tunisia is underestimated."
19419768,"Primary immunodeficiency disorders are a recognized public health problem worldwide. The prototype of these conditions is X-linked agammaglobulinemia (XLA) or Bruton's disease. XLA is caused by mutations in Bruton's tyrosine kinase gene (BTK), preventing B cell development and resulting in the almost total absence of serum immunoglobulins. The genetic profile and prevalence of XLA have not previously been studied in Eastern and Central European (ECE) countries. We studied the genetic and demographic features of XLA in Belarus, Croatia Hungary, Poland, Republic of Macedonia, Romania, Russia, Serbia, Slovenia, and Ukraine. We collected clinical, immunological, and genetic information for 122 patients from 109 families. The BTK gene was sequenced from the genomic DNA of patients with a high susceptibility to infection, almost no CD19(+) peripheral blood B cells, and low or undetectable levels of serum immunoglobulins M, G, and A, compatible with a clinical and immunological diagnosis of XLA. BTK sequence analysis revealed 98 different mutations, 46 of which are reported for the first time here. The mutations included single nucleotide changes in the coding exons (35 missense and 17 nonsense), 23 splicing defects, 13 small deletions, 7 large deletions, and 3 insertions. The mutations were scattered throughout the BTK gene and most frequently concerned the SH1 domain; no missense mutation was detected in the SH3 domain. The prevalence of XLA in ECE countries (total population 145,530,870) was found to be 1 per 1,399,000 individuals. This report provides the first comprehensive overview of the molecular genetic and demographic features of XLA in Eastern and Central Europe."
15781811,"BACKGROUND: Large-scale mitochondrial DNA (mtDNA) deletions are associated with clinical conditions such as Kearns-Sayre syndrome and chronic progressive external ophthalmoplegia in adults and Pearson syndrome in children. Reported case series have suggested that deletions are not uncommon in the population, but their prevalence has not been documented. METHODS: The authors ascertained patients with clinical features associated with mtDNA deletions in a defined adult population in northern Finland. Buccal epithelial samples were requested from each patient fulfilling the selection criteria, and full-length mtDNA was amplified using the long PCR method. Deletion breakpoints were identified using sequencing. Patients with deletions were examined clinically. RESULTS: The authors identified four patients with single large-scale mtDNA deletions. The prevalence of deletions was calculated to be 1.6/100,000 in the adult population in the province of Northern Ostrobothnia (0.0 to 3.2; 95% CI). Analysis of incident cases from a neighboring province revealed two patients with deletions and yielded a similar population frequency. CONCLUSIONS: The frequency of large-scale mitochondrial DNA deletions is similar among populations, suggesting that there is a constant rate of new deletions."
