OrphaCode,Disease Name,Orpha Epi Type,Orpha Epi Class,Orpha Epi Rate,Orpha Loc,Source,PMID
141,Canavan disease,Annual incidence,1-9 / 100 000,7.0,Specific population,20301412[PMID]_ORPHANET,20301412
166063,Pontocerebellar hypoplasia type 4,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_20952379[PMID],20952379
166073,Pontocerebellar hypoplasia type 6,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_25809939[PMID],25809939
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.75,Worldwide,12110740[PMID]_18008091[PMID]_11562417[PMID],12110740
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.75,Worldwide,12110740[PMID]_18008091[PMID]_11562417[PMID],18008091
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.75,Worldwide,12110740[PMID]_18008091[PMID]_11562417[PMID],11562417
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.31,France,1018302[PMID],1018302
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.59,Germany,3921756[PMID],3921756
213,Cystinosis,Prevalence at birth,1-9 / 100 000,2.1,United Kingdom,9610798[PMID],9610798
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.52,Australia,9918480[PMID],9918480
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.87,Denmark,975942[PMID]_27102039[PMID],975942
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.87,Denmark,975942[PMID]_27102039[PMID],27102039
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.38,Sweden,25274184[PMID]_27102039[PMID],25274184
213,Cystinosis,Prevalence at birth,1-9 / 1 000 000,0.38,Sweden,25274184[PMID]_27102039[PMID],27102039
213,Cystinosis,Prevalence at birth,1-9 / 100 000,1.6,Specific population,1937486[PMID]_25274184[PMID],1937486
213,Cystinosis,Prevalence at birth,1-9 / 100 000,1.6,Specific population,1937486[PMID]_25274184[PMID],25274184
333,Farber disease,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_29048419[PMID],29048419
349,Fucosidosis,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_10094192[PMID],10094192
349,Fucosidosis,Prevalence at birth,1-9 / 1 000 000,0.1,Sweden,25274184[PMID],25274184
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 1 000 000,0.17,Portugal,14685153[PMID],14685153
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 1 000 000,0.83,Italy,11953730[PMID],11953730
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 100 000,2.25,Netherlands,10480370[PMID]_10482961[PMID],10480370
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 100 000,2.25,Netherlands,10480370[PMID]_10482961[PMID],10482961
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 1 000 000,0.37,Czech Republic,20490927[PMID],20490927
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-5 / 10 000,11.5,Austria,22133539[PMID],22133539
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 100 000,2.5,United States,9738873[PMID],9738873
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 1 000 000,0.68,Australia,9918480[PMID],9918480
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 100 000,2.0,China,3106710[PMID],3106710
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,1-9 / 1 000 000,0.72,Sweden,25274184[PMID],25274184
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Prevalence at birth,1-9 / 100 000,1.0,United States,9412782[PMID],9412782
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Prevalence at birth,1-9 / 1 000 000,0.1,Worldwide,23285490[PMID],23285490
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_18421897[PMID],18421897
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_18771761[PMID]_28499982[PMID],18771761
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_18771761[PMID]_28499982[PMID],28499982
166108,"Intellectual disability, Birk-Barel type",Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_18678320[PMID],18678320
166113,Bazex syndrome,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_18775590[PMID],18775590
535,Rare cutaneous lupus erythematosus,Annual incidence,1-9 / 100 000,4.3,United States,19289752[PMID],19289752
535,Rare cutaneous lupus erythematosus,Point prevalence,6-9 / 10 000,73.0,United States,19289752[PMID],19289752
535,Rare cutaneous lupus erythematosus,Annual incidence,1-9 / 100 000,4.0,Sweden,21574972[PMID],21574972
487,Krabbe disease,Prevalence at birth,1-9 / 1 000 000,0.327,United States,22991292[PMID]_26795590[PMID],22991292
487,Krabbe disease,Prevalence at birth,1-9 / 1 000 000,0.327,United States,22991292[PMID]_26795590[PMID],26795590
487,Krabbe disease,Prevalence at birth,1-9 / 100 000,1.0,Europe,20301416[PMID],20301416
487,Krabbe disease,Prevalence at birth,1-9 / 1 000 000,0.71,Australia,9918480[PMID],9918480
487,Krabbe disease,Prevalence at birth,1-9 / 100 000,1.35,Netherlands,10480370[PMID],10480370
487,Krabbe disease,Prevalence at birth,1-9 / 100 000,1.21,Portugal,14685153[PMID],14685153
487,Krabbe disease,Prevalence at birth,1-9 / 1 000 000,0.6,Germany,9286459[PMID],9286459
487,Krabbe disease,Prevalence at birth,1-9 / 100 000,1.0,Turkey,20490927[PMID],20490927
487,Krabbe disease,Prevalence at birth,1-9 / 1 000 000,0.4,Czech Republic,20490927[PMID],20490927
487,Krabbe disease,Prevalence at birth,1-9 / 100 000,1.9,Sweden,5409293[PMID],5409293
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.23,Germany,16435194[PMID],16435194
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.15,Netherlands,10480370[PMID],10480370
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.42,Portugal,14685153[PMID],14685153
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.23,Sweden,18681890[PMID]_25274184[PMID],18681890
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.23,Sweden,18681890[PMID]_25274184[PMID],25274184
583,Mucopolysaccharidosis type 6,Point prevalence,1-9 / 100 000,3.3,Sweden,18681890[PMID],18681890
583,Mucopolysaccharidosis type 6,Prevalence at birth,<1 / 1 000 000,0.07,Norway,18681890[PMID],18681890
583,Mucopolysaccharidosis type 6,Point prevalence,1-9 / 100 000,2.2,Norway,18681890[PMID],18681890
583,Mucopolysaccharidosis type 6,Prevalence at birth,<1 / 1 000 000,0.05,Denmark,18681890[PMID],18681890
583,Mucopolysaccharidosis type 6,Point prevalence,1-9 / 100 000,3.7,Denmark,18681890[PMID],18681890
583,Mucopolysaccharidosis type 6,Prevalence at birth,<1 / 1 000 000,0.05,Czech Republic,20490927[PMID],20490927
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.37,Australia,16600651[PMID]_14608657[PMID],16600651
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.37,Australia,16600651[PMID]_14608657[PMID],14608657
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.1,Canada,10617747[PMID],10617747
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.14,"Taiwan, Province of China",19396827[PMID],19396827
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.27,Estonia,22480138[PMID],22480138
583,Mucopolysaccharidosis type 6,Point prevalence,<1 / 1 000 000,0.059,Colombia,22550061[PMID],22550061
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 100 000,2.3,Turkey,16435194[PMID],16435194
583,Mucopolysaccharidosis type 6,Prevalence at birth,<1 / 1 000 000,0.0132,Poland,25472774[PMID],25472774
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 100 000,7.85,Saudi Arabia,20622343[PMID],20622343
583,Mucopolysaccharidosis type 6,Prevalence at birth,<1 / 1 000 000,0.03,Japan,28595941[PMID],28595941
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.11,Switzerland,28595941[PMID],28595941
583,Mucopolysaccharidosis type 6,Prevalence at birth,1-9 / 1 000 000,0.3,Tunisia,20209839[PMID],20209839
583,Mucopolysaccharidosis type 6,Prevalence at birth,<1 / 1 000 000,0.019,"Korea, Republic of",25364648[PMID],25364648
166272,Odontochondrodysplasia,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_18241073[PMID],18241073
576,Mucolipidosis type II,Prevalence at birth,1-9 / 1 000 000,0.84,Europe,14685153[PMID]_10480370[PMID]_20301728[PMID]_ORPHANET,14685153
576,Mucolipidosis type II,Prevalence at birth,1-9 / 1 000 000,0.84,Europe,14685153[PMID]_10480370[PMID]_20301728[PMID]_ORPHANET,10480370
576,Mucolipidosis type II,Prevalence at birth,1-9 / 1 000 000,0.84,Europe,14685153[PMID]_10480370[PMID]_20301728[PMID]_ORPHANET,20301728
576,Mucolipidosis type II,Prevalence at birth,1-9 / 1 000 000,0.81,Portugal,14685153[PMID],14685153
576,Mucolipidosis type II,Prevalence at birth,1-9 / 1 000 000,0.16,Netherlands,10480370[PMID],10480370
576,Mucolipidosis type II,Prevalence at birth,1-9 / 1 000 000,0.4,Japan,2998652[PMID],2998652
576,Mucolipidosis type II,Prevalence at birth,1-9 / 100 000,1.56,Ireland,20301728[PMID],20301728
576,Mucolipidosis type II,Prevalence at birth,1-5 / 10 000,16.2,Specific population,18190596[PMID]_1937486[PMID],18190596
576,Mucolipidosis type II,Prevalence at birth,1-5 / 10 000,16.2,Specific population,18190596[PMID]_1937486[PMID],1937486
576,Mucolipidosis type II,Prevalence at birth,<1 / 1 000 000,0.05,Sweden,25274184[PMID],25274184
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_10544232[PMID],10544232
578,Mucolipidosis type IV,Prevalence at birth,1-9 / 1 000 000,0.1,Sweden,25274184[PMID],25274184
578,Mucolipidosis type IV,Prevalence at birth,1-9 / 100 000,2.5,Specific population,20159435[PMID]_16287144[PMID]_16645217[PMID],20159435
578,Mucolipidosis type IV,Prevalence at birth,1-9 / 100 000,2.5,Specific population,20159435[PMID]_16287144[PMID]_16645217[PMID],16287144
578,Mucolipidosis type IV,Prevalence at birth,1-9 / 100 000,2.5,Specific population,20159435[PMID]_16287144[PMID]_16645217[PMID],16645217
166286,Porokeratotic eccrine ostial and dermal duct nevus,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_21393947[PMID],21393947
577,Mucolipidosis type III,Prevalence at birth,<1 / 1 000 000,0.08,Netherlands,10480370[PMID],10480370
577,Mucolipidosis type III,Prevalence at birth,1-9 / 100 000,1.89,Portugal,14685153[PMID],14685153
577,Mucolipidosis type III,Prevalence at birth,1-9 / 100 000,1.0,Europe,10480370[PMID]_14685153[PMID],10480370
577,Mucolipidosis type III,Prevalence at birth,1-9 / 100 000,1.0,Europe,10480370[PMID]_14685153[PMID],14685153
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_20822975[PMID],20822975
166305,Benign infantile seizures associated with mild gastroenteritis,Point prevalence,<1 / 1 000 000,0.0,Worldwide,ORPHANET_24125788[PMID],24125788
796,Sandhoff disease,Prevalence at birth,1-9 / 100 000,1.49,Portugal,14685153[PMID],14685153
796,Sandhoff disease,Prevalence at birth,1-9 / 1 000 000,0.34,Netherlands,10480370[PMID],10480370
796,Sandhoff disease,Prevalence at birth,1-9 / 1 000 000,0.19,Czech Republic,20490927[PMID],20490927
796,Sandhoff disease,Prevalence at birth,1-9 / 1 000 000,0.26,Australia,9918480[PMID],9918480
796,Sandhoff disease,Prevalence at birth,1-9 / 1 000 000,0.95,Turkey,15275696[PMID],15275696
796,Sandhoff disease,Prevalence at birth,1-9 / 1 000 000,0.3,United States,2955697[PMID],2955697
796,Sandhoff disease,Prevalence at birth,1-9 / 1 000 000,0.38,Sweden,25274184[PMID],25274184
801,Scleroderma,Annual incidence,1-9 / 100 000,1.5,Australia,11456035[PMID],11456035
801,Scleroderma,Point prevalence,1-5 / 10 000,23.0,Australia,11456035[PMID],11456035
801,Scleroderma,Point prevalence,>1 / 1000,469.0,Specific population,8702445[PMID],8702445
461,Recessive X-linked ichthyosis,Annual incidence,1-9 / 100 000,9.9,Italy,12920363[PMID]_ORPHANET,12920363
584,Mucopolysaccharidosis type 7,Prevalence at birth,1-9 / 1 000 000,0.24,Netherlands,10480370[PMID],10480370
584,Mucopolysaccharidosis type 7,Prevalence at birth,<1 / 1 000 000,0.02,Czech Republic,25060283[PMID],25060283
584,Mucopolysaccharidosis type 7,Prevalence at birth,<1 / 1 000 000,0.02,Japan,28595941[PMID],28595941
584,Mucopolysaccharidosis type 7,Prevalence at birth,<1 / 1 000 000,0.038,Switzerland,28595941[PMID],28595941
584,Mucopolysaccharidosis type 7,Prevalence at birth,<1 / 1 000 000,0.047,Australia,9918480[PMID],9918480
584,Mucopolysaccharidosis type 7,Prevalence at birth,1-9 / 1 000 000,0.29,Canada,28595941[PMID],28595941
881,Turner syndrome,Prevalence at birth,1-5 / 10 000,42.5,Singapore,19551311[PMID],19551311
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,2.0,Europe,20301458[PMID]_23859338[PMID],20301458
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,2.0,Europe,20301458[PMID]_23859338[PMID],23859338
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,2.3,France,9207112 [PMID]_23859338[PMID],9207112
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,2.3,France,9207112 [PMID]_23859338[PMID],23859338
95,Friedreich ataxia,Prevalence at birth,1-9 / 100 000,2.8,Italy,2225525[PMID]_7793232[PMID],2225525
95,Friedreich ataxia,Prevalence at birth,1-9 / 100 000,2.8,Italy,2225525[PMID]_7793232[PMID],7793232
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,1.1,Italy,2225525[PMID]_7793232[PMID],2225525
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,1.1,Italy,2225525[PMID]_7793232[PMID],7793232
95,Friedreich ataxia,Prevalence at birth,1-9 / 100 000,6.2,Spain,2043954[PMID]_7898602[PMID],2043954
95,Friedreich ataxia,Prevalence at birth,1-9 / 100 000,6.2,Spain,2043954[PMID]_7898602[PMID],7898602
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,4.3,Spain,2043954[PMID]_7898602[PMID],2043954
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,4.3,Spain,2043954[PMID]_7898602[PMID],7898602
95,Friedreich ataxia,Prevalence at birth,1-9 / 100 000,1.0,Finland,11810294[PMID],11810294
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.13,Finland,11810294[PMID]_23859338[PMID],11810294
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.13,Finland,11810294[PMID]_23859338[PMID],23859338
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.7,Denmark,2096315[PMID],2096315
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.9,Portugal,23609960[PMID],23609960
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,1.8,United Kingdom,19347027[PMID],19347027
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.9,Greece,24209901[PMID],24209901
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,1.0,Norway,1126051[PMID],1126051
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,2.1,Germany,9187683[PMID]_23859338[PMID],9187683
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,2.1,Germany,9187683[PMID]_23859338[PMID],23859338
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.24,Sweden,11810294[PMID]_23859338[PMID],11810294
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.24,Sweden,11810294[PMID]_23859338[PMID],23859338
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.27,Czech Republic,15726025[PMID]_23859338[PMID],15726025
95,Friedreich ataxia,Point prevalence,1-9 / 1 000 000,0.27,Czech Republic,15726025[PMID]_23859338[PMID],23859338
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,3.03,Russian Federation,15559155[PMID]_23859338[PMID],15559155
95,Friedreich ataxia,Point prevalence,1-9 / 100 000,3.03,Russian Federation,15559155[PMID]_23859338[PMID],23859338
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,7.4,Europe,18442953[PMID]_European Medicines Agency 2019[INST],18442953
586,Cystic fibrosis,Annual incidence,1-5 / 10 000,21.7,France,16916626[PMID],16916626
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,21.3,France,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,21.3,France,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,7.5,France,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,7.5,France,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Annual incidence,1-5 / 10 000,23.6,Italy,15481678[PMID],15481678
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,23.8,Italy,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,23.8,Italy,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,8.7,Italy,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,8.7,Italy,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Annual incidence,6-9 / 10 000,73.9,Ireland,17955689[PMID],17955689
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,25.0,Ireland,19403164[PMID],19403164
586,Cystic fibrosis,Annual incidence,1-5 / 10 000,27.7,Canada,16182667[PMID],16182667
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,30.3,Germany,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,30.3,Germany,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,8.3,Germany,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,8.3,Germany,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Annual incidence,1-9 / 100 000,8.9,Ecuador,17432547[PMID],17432547
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,21.3,Denmark,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,21.3,Denmark,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,7.6,Denmark,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,7.6,Denmark,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,35.0,Belgium,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,35.0,Belgium,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-5 / 10 000,10.3,Belgium,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-5 / 10 000,10.3,Belgium,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,8.5,United States,19403164[PMID]_Cystic Fibrosis Foundation 2010[OTHER]_22914736[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,8.5,United States,19403164[PMID]_Cystic Fibrosis Foundation 2010[OTHER]_22914736[PMID],22914736
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,19.9,United States,22766612[PMID],22766612
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,33.3,Australia,21978347[PMID]_19403164[PMID],21978347
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,33.3,Australia,21978347[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-9 / 1 000 000,0.28,Japan,9161949[PMID]_8533810[PMID],9161949
586,Cystic fibrosis,Prevalence at birth,1-9 / 1 000 000,0.28,Japan,9161949[PMID]_8533810[PMID],8533810
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,22.0,Netherlands,16236889[PMID]_19403164[PMID],16236889
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,22.0,Netherlands,16236889[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,7.8,Netherlands,16236889[PMID]_19403164[PMID],16236889
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,7.8,Netherlands,16236889[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,16.7,Portugal,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,16.7,Portugal,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,2.7,Portugal,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,2.7,Portugal,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,27.0,Spain,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,27.0,Spain,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,5.46,Spain,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,5.46,Spain,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,33.3,Israel,19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,41.7,United Kingdom,17182652[PMID]_19403164[PMID],17182652
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,41.7,United Kingdom,17182652[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-5 / 10 000,13.7,United Kingdom,17182652[PMID]_19403164[PMID],17182652
586,Cystic fibrosis,Point prevalence,1-5 / 10 000,13.7,United Kingdom,17182652[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,17.3,Sweden,2243313[PMID]_19403164[PMID],2243313
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,17.3,Sweden,2243313[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,4.0,Sweden,2243313[PMID]_19403164[PMID],2243313
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,4.0,Sweden,2243313[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,28.6,Greece,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,28.6,Greece,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,5.2,Greece,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,5.2,Greece,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-9 / 100 000,4.0,Finland,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Prevalence at birth,1-9 / 100 000,4.0,Finland,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,1.2,Finland,18442953[PMID]_19403164[PMID],18442953
586,Cystic fibrosis,Point prevalence,1-9 / 100 000,1.2,Finland,18442953[PMID]_19403164[PMID],19403164
586,Cystic fibrosis,Prevalence at birth,1-5 / 10 000,28.6,Austria,18442953[PMID]_19403164[PMID],18442953
